Loc,LocName,LocStAbbrev,LocCnty,LocZone,DirFlo,LocTypeInd,Total_Design_Capacity,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20
"	72672","LEBANON #2 - WILSON CO., TN",TN,WILSON,1,D,END,"661,500", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72692","ASSOCIATED NATURAL GAS INC. - WILKINSON CO., MS",MS,WILKINSON,ELA,R,WHD,"425,000",250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
"	72694","NCL NATURAL RESOURCES, LLC (EASTERN STATES EXPL)- CENTRE C",PA,CENTRE,3,R,WHD,"57,794", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72697","ODEGARD ENERGY - CHICKASAW, MS",MS,CHICKASAW,1,R,WHD,"4,281",65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,465,365,365,365
"	72716","ENTERPRISE TEXAS PIPELINE LLC HILDALGO COUNTY, TX (REC)",TX,HIDALGO,STX,R,INT,"10,440", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72718",SMITH OPER. (HARVEY BROYLE M.P. 0.00) - BIENVILLE PSH. LA,LA,BIENVILLE,ETX,R,WHD,"34,227",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	72723","ABRAXAS PETROLEUM CORP.- TIPTON LEASE / GOLIAD CO., TX (REC",TX,GOLIAD,STX,R,WHD,"152,212", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72744","RIO GRANDE ROYALTY CO., INC. - RIO GRANDE #1/HIDALGO CO., T",TX,HIDALGO,STX,R,WHD,"4,537",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"	72745","PECO ENERGY - COLLEGEVILLE, PA.",PA,MONTGOMERY,3,D,LDC,625, -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72764","NGPL SWEET LAKE - CAMERON PSH., LA",LA,CAMERON,WLA,R,INT,"132,872", -   ,0,0,0,11415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72770",PEPL/TETCO (LEBANON LATERAL-TETCO CAPACITY),OH,WARREN,2,D,INT,"16,781","1,323",1323,1323,1323,1332,1332,1332,1332,1332,1332,1332,1332,1019,1019,1019,1019,1019,1019,1019,1019,1019,909,909,909,909,247,247,247,248,909,909
"	72798","HAMILTON, OH",OH,BUTLER,2,D,LDC,"135,355","2,085",2085,2085,2185,2085,2185,2285,2185,2185,4885,2285,2285,2285,2185,2185,2185,2285,0,0,2085,2485,2085,2085,2185,4985,2585,5260,2260,2178,2225,2225
"	72803","DOMINION EXPLORATION & PRODUCTION, INC.",PA,WESTMORELAND,2,R,WHD,"90,000", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72808","COMSTOCK RESOURCES -  #1 DESOTO - DESOTO PSH., LA",LA,DE SOTO,ETX,R,WHD,"160,987", -   ,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,400,400,400,400,366,400
"	72824","MID LOUISIANA - W. FELECIANA PSH., LA",LA,WEST FELICIANA,ELA,D,INT,"1,994","9,733",11022,11022,1178,6022,6221,5893,122,6022,122,7822,5464,4022,22,22,22,22,1722,2622,5422,15022,2022,2022,2022,322,2652,777,1022,559,969,679
"	72827","CITY OF FULTON - ITAWAMBA CO., MS",MS,ITAWAMBA,1,D,LDC,"8,706", -   ,27,20,20,25,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,0,0,25,25,25
"	72828","RBS GAS UTIL. - MACON CO., TN",TN,MACON,1,D,LDC,"295,135", -   ,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,0,5,5,5
"	72831",NORTHSTAR OFFSHORE- SOUTH PASS 86,OF,SOUTH PASS,ELA,R,WHD,"4,104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"	72834","TALON ENERGY LLC-PAUL T RAY - LAFOURCHE PSH., LA",LA,LAFOURCHE,ELA,R,WHD,"5,779", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72837","MONUMENT PIPELINE, LP - HARRIS COUNTY, TX",TX,HARRIS,STX,R,INT,"15,472", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72848","OZARK GAS - GREENE CO., AR",AR,GREENE,1,R,INT,"65,618","3,396",3396,3396,3397,3397,3397,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502,3502,3483,3502,3567,28803,3567,2567,13567,23267,3042,3042,3052,3052,3052
"	72849","ENI PETROLEUM US LLC - 365 MC, LA",OF,MAIN PASS,ELA,R,WHD,"152,285","36,039",36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,36039,2,2,2,2,2,5401,23001,35001,40001
"	72855","N.J. NATURAL - HEATER FUEL, JAMESBURG, NJ",NJ,MIDDLESEX,3,D,LDC,"4,060",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"	72856","ONALASKA WATER & GAS CORPORATION - POLK COUNTY, TX",TX,POLK,ETX,D,LDC,"932,170",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"	72857","EXCHANGE OIL & GAS - WILKINSON CO., MS",MS,WILKINSON,ELA,R,WHD,"165,296", -   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	72858","COPANO PIPELINE - MONTGOMEREY CO., TX- DEL (B/D/76858)",TX,MONTGOMERY,STX,D,OTH,"49,627",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"	72863","DELMARVA POWER & LIGHT - NEW CASTLE, DE (ULTRA SONIC MTRS)",DE,NEW CASTLE,3,D,END,"140,044","29,898",29898,29850,29898,29898,29898,29898,29898,29898,29898,27819,27084,28143,28628,29898,29898,29898,29898,29898,29898,29898,29898,29898,29203,28907,30898,29652,28098,29114,29898,29098
